CRN,Subject,Department,Number,Section,Instructor,Days,Start Time,End Time,Building,Room,Campus,Class Type,Method,DP or IN,PoT,Actual,Max
34620,CIS,ISAN,5367,251,"Mohammed, Zareef Aqeeb",____R__,6:30 PM,9:20 PM,MCOY,241,Online,LEC,HYB,DP,1,50,45
34621,CIS,ISAN,5367,252,"Mohammed, Zareef Aqeeb",____R__,6:30 PM,9:20 PM,AVRY,355,"1555 University Blvd, Round Rock, TX 78665",LEC,HYB,DP,1,17,16
39555,CIS,ISAN,5368,251,"White, Garry Taught",____R__,6:30 PM,9:20 PM,ARR,ARR,Online,LEC,INT,,1,7,20
34211,CIS,ISAN,5370,251,"Zhang, Peiqin Taught",___W___,6:30 PM,9:20 PM,ARR,ARR,Online,LEC,INT,,1,15,25
35772,CIS,ISAN,5395,251,"Zhang, Peiqin Dp",_______,,,ARR,ARR,"601 University Dr, San Marcos, TX 78666",ITS,FTF,DP,1,4,5
39793,CIS,ISAN,4373D,251,"Kelley, Zachary Michael",__T_R__,8:00 AM,9:20 AM,MCOY,332,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,45,45
39757,CIS,ISAN,4373L,251,"Jetton, Kevin J",__T_R__,11:00 AM,12:20 PM,MCOY,241,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,35,45
39553,CIS,ISAN,4373M,251,"Kelley, Zachary Michael",_M_W___,8:00 AM,9:20 AM,ENC,305,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,34,36
34075,CJ,CJCR,1310,251,"Payne, Raymie Donele",__T_R__,12:30 PM,1:50 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,78,85
36105,CJ,CJCR,1310,252,"Reyes, Brian A",_M_W___,11:00 AM,12:20 PM,HINE,205,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,82,85
36106,CJ,CJCR,1310,253,"Polk, Taylor Charles",__T_R__,11:00 AM,12:20 PM,HINE,207,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,83,85
39265,CJ,CJCR,1310,254,"Robbins, Meagan Elizabeth",_M_W___,12:30 PM,1:50 PM,HINE,207,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,65,65
